algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_NTRU_HPS_2048_677,22.352621,20.932249,0.017225,1.467245,0.017225
P384_NTRU_HPS_2048_677,27.136445,25.368909,0.016776,1.487747,0.016776
P384_NTRU_HPS_2048_677,26.347130,24.325903,0.017478,1.410398,0.017478
P384_NTRU_HPS_2048_677,15.086591,14.333880,0.010637,0.456924,0.010637
P384_NTRU_HPS_2048_677,23.898478,22.985293,0.032411,1.610956,0.032411
P384_NTRU_HPS_2048_677,22.373860,21.521456,0.016892,1.489509,0.016892
P384_NTRU_HPS_2048_677,22.334466,21.423089,0.035467,1.601702,0.035467
P384_NTRU_HPS_2048_677,26.338243,24.430909,0.018739,1.987486,0.018739
P384_NTRU_HPS_2048_677,20.998566,19.271437,0.018142,1.407432,0.018142
P384_NTRU_HPS_2048_677,21.208793,20.448500,0.019225,1.483824,0.019225
P384_NTRU_HPS_2048_677,24.077884,23.255723,0.038470,1.895860,0.038470
P384_NTRU_HPS_2048_677,23.094667,22.327791,0.023048,1.410650,0.023048
P384_NTRU_HPS_2048_677,23.355917,21.795839,0.017943,1.601076,0.017943
P384_NTRU_HPS_2048_677,26.296531,23.598921,0.020152,1.551451,0.020152
P384_NTRU_HPS_2048_677,22.966007,22.117254,0.018249,1.396899,0.018249
P384_NTRU_HPS_2048_677,21.710478,20.801981,0.017831,1.509839,0.017831
P384_NTRU_HPS_2048_677,26.968513,26.219234,0.021003,1.463624,0.021003
P384_NTRU_HPS_2048_677,28.210069,27.359737,0.037224,1.579392,0.037224
P384_NTRU_HPS_2048_677,25.870615,23.390661,0.027556,1.490352,0.027556
P384_NTRU_HPS_2048_677,24.805784,23.990379,0.021680,1.486326,0.021680
P384_NTRU_HPS_2048_677,24.934056,24.162583,0.037435,2.069297,0.037435
P384_NTRU_HPS_2048_677,21.139715,20.258279,0.030153,1.462948,0.030153
P384_NTRU_HPS_2048_677,24.235868,23.400503,0.018596,1.484875,0.018596
P384_NTRU_HPS_2048_677,21.354661,20.425532,0.017620,1.513074,0.017620
P384_NTRU_HPS_2048_677,22.784259,21.293371,0.018823,1.477609,0.018823
