algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_Kyber768,23.810315,23.007650,0.037655,1.489389,0.037655
P384_Kyber768,30.002275,28.449511,0.019986,1.203477,0.019986
P384_Kyber768,25.164897,23.421917,0.022053,1.479981,0.022053
P384_Kyber768,23.242715,21.281301,0.018497,1.195822,0.018497
P384_Kyber768,25.186654,24.435690,0.025083,1.544295,0.025083
P384_Kyber768,25.497483,23.817629,0.021151,1.272564,0.021151
P384_Kyber768,20.679364,19.778026,0.021946,1.274018,0.021946
P384_Kyber768,24.912670,24.058497,0.019805,1.262303,0.019805
P384_Kyber768,26.778127,25.099759,0.036882,1.644586,0.036882
P384_Kyber768,23.083633,22.253530,0.026212,1.266931,0.026212
P384_Kyber768,25.903631,23.570437,0.020891,1.355831,0.020891
P384_Kyber768,23.725269,22.877759,0.018956,1.324132,0.018956
P384_Kyber768,26.074275,25.310229,0.021236,1.348366,0.021236
P384_Kyber768,25.298347,23.922943,0.023677,1.496059,0.023677
P384_Kyber768,24.420637,23.084250,0.027165,1.318889,0.027165
P384_Kyber768,25.768118,23.709682,0.026927,1.722139,0.026927
P384_Kyber768,22.313712,21.364803,0.028457,1.310316,0.028457
P384_Kyber768,23.573860,21.579742,0.021130,1.325485,0.021130
P384_Kyber768,25.788428,23.547634,0.019526,1.188429,0.019526
P384_Kyber768,19.174960,18.338202,0.033526,1.423648,0.033526
P384_Kyber768,23.875416,22.936638,0.039327,1.536891,0.039327
P384_Kyber768,23.311675,22.410294,0.026365,1.212198,0.026365
P384_Kyber768,22.596108,21.615067,0.025571,1.221772,0.025571
P384_Kyber768,21.004481,19.420167,0.022967,1.341031,0.022967
P384_Kyber768,25.753517,24.805826,0.021289,1.470699,0.021289
P384_Kyber768,19.943395,19.075624,0.007520,0.434713,0.007520
P384_Kyber768,25.399376,23.184086,0.032111,1.431201,0.032111
P384_Kyber768,26.093753,24.154120,0.021785,1.384927,0.021785
P384_Kyber768,27.189634,24.734938,0.021359,1.389922,0.021359
P384_Kyber768,25.477458,24.710886,0.036243,1.327514,0.036243
P384_Kyber768,34.974454,34.132530,0.019253,1.216002,0.019253
P384_Kyber768,31.479550,30.670705,0.021533,1.349521,0.021533
P384_Kyber768,24.854076,23.971629,0.044913,1.437806,0.044913
P384_Kyber768,23.985676,22.605252,0.019030,1.653173,0.019030
P384_Kyber768,25.751370,24.826028,0.023999,1.339910,0.023999
P384_Kyber768,24.970019,24.127179,0.021436,1.439298,0.021436
P384_Kyber768,24.452430,23.606343,0.021458,1.405412,0.021458
P384_Kyber768,22.034615,21.180672,0.024199,1.234921,0.024199
P384_Kyber768,23.877760,23.022050,0.038756,1.361034,0.038756
P384_Kyber768,24.438584,23.600933,0.020569,1.762981,0.020569
P384_Kyber768,22.477727,21.653823,0.019218,1.304338,0.019218
P384_Kyber768,23.289443,22.540875,0.020591,1.485523,0.020591
P384_Kyber768,27.570139,25.792564,0.024870,1.331063,0.024870
P384_Kyber768,25.958590,25.147825,0.037790,1.420305,0.037790
P384_Kyber768,27.929335,26.066909,0.023831,1.354497,0.023831
P384_Kyber768,27.215675,26.364200,0.019367,1.285208,0.019367
P384_Kyber768,24.569099,22.732411,0.021613,1.433238,0.021613
P384_Kyber768,20.812043,20.002645,0.024198,1.283032,0.024198
P384_Kyber768,26.433764,25.596840,0.039679,1.322232,0.039679
P384_Kyber768,26.215525,24.643149,0.023418,1.569798,0.023418
P384_Kyber768,32.879577,31.555109,0.021138,1.355629,0.021138
P384_Kyber768,25.143192,22.671708,0.025048,1.376359,0.025048
P384_Kyber768,23.728506,22.881929,0.022933,1.364633,0.022933
P384_Kyber768,27.541235,26.169863,0.019477,1.388843,0.019477
P384_Kyber768,32.275721,30.899460,0.020860,1.316268,0.020860
P384_Kyber768,23.516837,22.630696,0.021936,1.263374,0.021936
P384_Kyber768,15.308818,14.349248,0.013797,0.499991,0.013797
P384_Kyber768,28.971530,27.348711,0.022467,1.352968,0.022467
P384_Kyber768,24.939655,22.593785,0.019797,1.235663,0.019797
P384_Kyber768,20.642530,19.743642,0.019956,1.205959,0.019956
