algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
P384_Saber_KEM,23.397881,22.498585,0.033408,1.438974,0.033408
P384_Saber_KEM,27.730633,25.226080,0.026523,1.256206,0.026523
P384_Saber_KEM,24.401437,23.638495,0.017644,1.301610,0.017644
P384_Saber_KEM,25.266373,24.399728,0.021804,1.616267,0.021804
P384_Saber_KEM,21.969059,20.519273,0.019209,1.364686,0.019209
P384_Saber_KEM,22.213691,21.401422,0.022157,1.515431,0.022157
P384_Saber_KEM,20.999854,20.144744,0.023419,1.227629,0.023419
P384_Saber_KEM,26.024083,25.176220,0.035792,1.331101,0.035792
P384_Saber_KEM,26.285701,25.438039,0.017566,1.316769,0.017566
P384_Saber_KEM,22.332101,21.530761,0.017840,1.205500,0.017840
P384_Saber_KEM,21.095585,19.864398,0.023847,1.404119,0.023847
P384_Saber_KEM,25.101509,22.941272,0.017997,1.299361,0.017997
P384_Saber_KEM,29.467795,27.950322,0.032429,1.566431,0.032429
P384_Saber_KEM,24.028353,22.966191,0.018220,1.327575,0.018220
P384_Saber_KEM,17.033901,16.021235,0.016929,0.588972,0.016929
P384_Saber_KEM,23.272731,22.472693,0.026010,1.336212,0.026010
P384_Saber_KEM,21.712405,20.792351,0.019628,1.436471,0.019628
P384_Saber_KEM,26.476334,25.561571,0.024563,1.409346,0.024563
P384_Saber_KEM,22.520405,21.536379,0.027262,1.592924,0.027262
P384_Saber_KEM,25.979203,25.122775,0.021494,1.308210,0.021494
P384_Saber_KEM,31.434828,30.010270,0.028745,1.421872,0.028745
P384_Saber_KEM,24.644430,23.806184,0.020371,1.457863,0.020371
P384_Saber_KEM,24.197538,23.336641,0.028726,1.393526,0.028726
P384_Saber_KEM,25.213813,24.278503,0.019884,1.322122,0.019884
P384_Saber_KEM,23.169513,21.393032,0.019539,1.410048,0.019539
P384_Saber_KEM,24.876873,23.314820,0.030254,1.451104,0.030254
P384_Saber_KEM,27.372573,24.682758,0.018000,1.375716,0.018000
P384_Saber_KEM,24.383010,23.621268,0.021034,1.720662,0.021034
P384_Saber_KEM,25.454758,24.610783,0.024249,1.238371,0.024249
P384_Saber_KEM,28.660497,26.838515,0.019649,1.362404,0.019649
P384_Saber_KEM,24.210266,23.367129,0.019113,1.386183,0.019113
P384_Saber_KEM,27.626504,25.888339,0.018382,2.119426,0.018382
P384_Saber_KEM,20.735699,19.787480,0.021643,1.335650,0.021643
P384_Saber_KEM,28.189326,26.386255,0.019510,1.425068,0.019510
P384_Saber_KEM,23.037578,21.749654,0.016924,1.224005,0.016924
P384_Saber_KEM,23.287800,22.160284,0.029489,1.375726,0.029489
P384_Saber_KEM,27.213778,24.685307,0.019798,1.502771,0.019798
P384_Saber_KEM,22.892424,21.973209,0.022578,1.338618,0.022578
P384_Saber_KEM,28.602600,26.601009,0.019272,1.334210,0.019272
P384_Saber_KEM,25.931328,24.179608,0.024148,1.412957,0.024148
P384_Saber_KEM,26.956596,25.903289,0.018248,1.412095,0.018248
P384_Saber_KEM,22.412113,21.584212,0.018682,1.316348,0.018682
P384_Saber_KEM,27.767143,25.892900,0.022001,1.337134,0.022001
P384_Saber_KEM,25.135140,24.139015,0.018215,1.213498,0.018215
P384_Saber_KEM,14.517343,13.592122,0.007927,0.402147,0.007927
P384_Saber_KEM,15.785222,14.914971,0.009219,0.549190,0.009219
P384_Saber_KEM,23.801805,23.018063,0.018280,1.402171,0.018280
P384_Saber_KEM,26.574725,25.839415,0.019958,1.517699,0.019958
P384_Saber_KEM,24.760431,22.726613,0.018125,1.448996,0.018125
P384_Saber_KEM,14.679189,13.694295,0.009345,0.419054,0.009345
P384_Saber_KEM,25.028535,24.278112,0.031382,1.390883,0.031382
P384_Saber_KEM,22.526447,21.594303,0.019196,1.222310,0.019196
P384_Saber_KEM,28.654321,26.363670,0.025099,1.327071,0.025099
P384_Saber_KEM,27.991670,26.124420,0.016770,1.268865,0.016770
P384_Saber_KEM,26.914427,24.462963,0.020380,1.233261,0.020380
P384_Saber_KEM,21.005506,20.144484,0.020561,1.236539,0.020561
P384_Saber_KEM,26.476590,24.110227,0.019155,1.446140,0.019155
P384_Saber_KEM,24.806627,23.959402,0.031550,1.388342,0.031550
P384_Saber_KEM,23.097671,22.152285,0.402129,1.367382,0.402129
P384_Saber_KEM,22.240921,21.078676,0.019375,1.275695,0.019375
P384_Saber_KEM,28.350980,26.048051,0.020349,1.431769,0.020349
P384_Saber_KEM,24.734639,23.782096,0.018907,1.309597,0.018907
P384_Saber_KEM,26.793289,25.882753,0.027449,1.416816,0.027449
P384_Saber_KEM,21.681833,20.834921,0.017255,2.059732,0.017255
P384_Saber_KEM,28.847201,27.150007,0.020249,1.356603,0.020249
P384_Saber_KEM,23.503625,22.646173,0.022440,1.313975,0.022440
P384_Saber_KEM,27.126864,24.735547,0.019226,1.223802,0.019226
P384_Saber_KEM,22.742238,21.563234,0.019605,1.497213,0.019605
P384_Saber_KEM,20.962097,20.192919,0.024219,1.303873,0.024219
P384_Saber_KEM,22.002895,20.984581,0.024595,1.439901,0.024595
P384_Saber_KEM,23.231496,22.432447,0.018580,1.363004,0.018580
P384_Saber_KEM,27.281456,24.834797,0.018776,1.281500,0.018776
P384_Saber_KEM,21.380748,20.512057,0.021100,1.239468,0.021100
P384_Saber_KEM,24.307007,23.463549,0.017225,1.263718,0.017225
P384_Saber_KEM,26.840624,25.933526,0.020022,1.355122,0.020022
P384_Saber_KEM,26.789970,25.211983,0.017946,1.280625,0.017946
P384_Saber_KEM,23.791120,22.942418,0.029782,1.437316,0.029782
P384_Saber_KEM,21.780915,20.526895,0.019658,1.220573,0.019658
P384_Saber_KEM,28.977722,27.509797,0.019349,1.407848,0.019349
P384_Saber_KEM,26.995646,26.089045,0.021809,1.500862,0.021809
P384_Saber_KEM,23.320855,22.105533,0.019232,1.461409,0.019232
P384_Saber_KEM,21.521484,20.557237,0.022773,1.337307,0.022773
P384_Saber_KEM,21.789121,20.686152,0.024810,1.411891,0.024810
P384_Saber_KEM,24.893140,23.336073,0.018756,1.416265,0.018756
P384_Saber_KEM,25.723964,23.492451,0.019597,1.234985,0.019597
P384_Saber_KEM,21.902575,20.865971,0.019583,1.311872,0.019583
P384_Saber_KEM,26.511876,25.465958,0.019811,1.335269,0.019811
P384_Saber_KEM,24.188414,22.223712,0.018594,1.348952,0.018594
P384_Saber_KEM,26.356172,24.290502,0.017559,1.215351,0.017559
P384_Saber_KEM,21.622446,20.733715,0.020291,1.493911,0.020291
P384_Saber_KEM,18.316643,17.422623,0.013443,0.674192,0.013443
P384_Saber_KEM,15.579081,14.723533,0.008857,0.493713,0.008857
P384_Saber_KEM,20.550225,19.704610,0.028545,1.349786,0.028545
P384_Saber_KEM,23.716170,22.819618,0.018311,1.251460,0.018311
P384_Saber_KEM,24.144968,23.262615,0.018328,1.387206,0.018328
P384_Saber_KEM,16.662257,15.699058,0.011725,0.661112,0.011725
P384_Saber_KEM,29.034709,26.784584,0.021298,1.341104,0.021298
P384_Saber_KEM,23.870937,23.010706,0.020453,1.273321,0.020453
P384_Saber_KEM,27.517233,25.921739,0.029462,1.415123,0.029462
P384_Saber_KEM,19.772119,18.865796,0.018693,1.361817,0.018693
P384_Saber_KEM,24.045027,23.211297,0.020418,1.367885,0.020418
P384_Saber_KEM,27.786956,26.369776,0.023413,1.329975,0.023413
P384_Saber_KEM,26.281380,24.681160,0.021344,1.249989,0.021344
P384_Saber_KEM,23.170974,22.400653,0.019066,1.304227,0.019066
P384_Saber_KEM,25.158331,22.847091,0.021208,1.499868,0.021208
P384_Saber_KEM,21.970492,21.149054,0.016961,1.338918,0.016961
P384_Saber_KEM,28.069612,26.638405,0.028745,1.419668,0.028745
P384_Saber_KEM,22.196994,20.839261,0.028750,1.337890,0.028750
P384_Saber_KEM,27.092902,26.117090,0.019081,1.260479,0.019081
P384_Saber_KEM,24.057923,23.183603,0.017343,2.036332,0.017343
P384_Saber_KEM,26.409593,24.568301,0.019779,1.438337,0.019779
P384_Saber_KEM,23.248647,22.009881,0.024758,1.434829,0.024758
P384_Saber_KEM,28.468997,26.757897,0.021194,1.256851,0.021194
P384_Saber_KEM,24.427098,22.701778,0.018807,1.252095,0.018807
P384_Saber_KEM,27.256964,26.413190,0.020003,1.332228,0.020003
P384_Saber_KEM,27.346311,25.606946,0.023637,1.275540,0.023637
P384_Saber_KEM,22.798096,21.984724,0.027592,2.300281,0.027592
P384_Saber_KEM,27.608168,25.936891,0.018528,1.327484,0.018528
P384_Saber_KEM,26.632761,25.131639,0.026008,1.284717,0.026008
P384_Saber_KEM,25.026843,23.378227,0.019294,1.465869,0.019294
P384_Saber_KEM,24.347841,23.241463,0.019780,1.405144,0.019780
P384_Saber_KEM,15.524522,14.567517,0.007234,0.427033,0.007234
P384_Saber_KEM,23.063037,22.266262,0.017914,1.393283,0.017914
P384_Saber_KEM,24.443513,23.498572,0.025060,1.362384,0.025060
P384_Saber_KEM,19.736859,18.886382,0.017135,1.357482,0.017135
P384_Saber_KEM,22.058193,21.269171,0.017917,1.220623,0.017917
P384_Saber_KEM,25.931138,23.734273,0.019847,1.421077,0.019847
P384_Saber_KEM,24.617319,23.731990,0.020648,1.290471,0.020648
P384_Saber_KEM,24.822256,23.894123,0.027588,1.510874,0.027588
P384_Saber_KEM,26.368980,24.671817,0.030534,1.414181,0.030534
P384_Saber_KEM,27.345891,26.595944,0.018489,1.324274,0.018489
P384_Saber_KEM,20.753458,19.672030,0.018710,1.167046,0.018710
P384_Saber_KEM,21.435959,20.549942,0.018911,1.248050,0.018911
P384_Saber_KEM,27.198921,25.955874,0.017670,1.213647,0.017670
P384_Saber_KEM,22.416335,21.521251,0.019849,1.367519,0.019849
P384_Saber_KEM,25.858880,24.276850,0.017832,1.326476,0.017832
P384_Saber_KEM,24.040177,21.685679,0.020006,1.335759,0.020006
P384_Saber_KEM,28.066496,26.602077,0.027682,1.525621,0.027682
P384_Saber_KEM,21.682758,20.767081,0.018137,1.745970,0.018137
P384_Saber_KEM,29.521648,27.936394,0.019183,1.378760,0.019183
P384_Saber_KEM,26.343753,25.453340,0.024375,1.458392,0.024375
P384_Saber_KEM,22.118995,20.904605,0.024190,1.446033,0.024190
P384_Saber_KEM,28.141900,27.233725,0.023745,1.622542,0.023745
P384_Saber_KEM,23.234444,22.364214,0.019358,1.357494,0.019358
P384_Saber_KEM,21.861232,21.097603,0.020648,1.276633,0.020648
P384_Saber_KEM,25.853554,23.764508,0.019259,1.397486,0.019259
P384_Saber_KEM,21.401791,20.526314,0.020102,1.475566,0.020102
P384_Saber_KEM,19.226803,18.353837,0.018785,1.334784,0.018785
P384_Saber_KEM,23.729390,22.935006,0.017596,1.230457,0.017596
P384_Saber_KEM,20.000309,19.034779,0.035253,1.450865,0.035253
P384_Saber_KEM,24.862668,24.051033,0.020128,1.268484,0.020128
P384_Saber_KEM,18.369633,17.436138,0.008920,0.698237,0.008920
P384_Saber_KEM,21.776568,20.925064,0.026101,1.240008,0.026101
P384_Saber_KEM,24.619089,23.083326,0.020691,1.372292,0.020691
P384_Saber_KEM,22.826370,22.049420,0.019828,1.330077,0.019828
P384_Saber_KEM,17.821325,17.061344,0.018970,1.326919,0.018970
P384_Saber_KEM,31.831628,29.913392,0.022674,1.253471,0.022674
P384_Saber_KEM,22.127599,21.290855,0.024594,1.320007,0.024594
P384_Saber_KEM,26.731356,25.207469,0.030059,1.381327,0.030059
