algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,3.599919,0.008951,0.083122
P256,3.453994,0.006951,0.386137
P256,4.276917,0.007194,0.092289
P256,3.917519,0.005670,0.084522
P256,3.078751,0.006037,0.238197
P256,3.489511,0.005175,0.081352
P256,3.115152,0.006993,0.293199
P256,3.158585,0.020380,0.279909
P256,3.327793,0.005933,0.460527
P256,3.043487,0.005938,0.073301
P256,3.316425,0.006017,0.076335
P256,2.966412,0.006000,0.073187
P256,2.905104,0.005631,0.075568
P256,3.587584,0.006798,0.077986
P256,3.058476,0.006570,0.401127
P256,3.379884,0.005562,0.078272
P256,2.899823,0.005552,0.077506
P256,3.765937,0.006690,0.370342
P256,4.227784,0.005346,0.082995
P256,3.945340,0.005898,0.089268
P256,3.831624,0.006248,0.081348
P256,3.713480,0.006013,0.289543
P256,4.052358,0.005763,0.086664
P256,3.402104,0.005808,0.532344
P256,2.962196,0.005304,0.093432
P256,2.913423,0.006232,0.078398
P256,4.466547,0.005774,0.077558
P256,3.855119,0.005725,0.095796
P256,3.568733,0.007045,0.353884
P256,3.950757,0.005949,0.077894
P256,3.181015,0.005941,0.298871
P256,3.572303,0.005349,0.080142
P256,3.266975,0.005581,0.359139
P256,3.155452,0.005653,0.286067
P256,3.613010,0.006682,0.084795
P256,3.951503,0.005880,0.100894
P256,3.860631,0.006827,0.432618
P256,3.142820,0.006070,0.268556
P256,2.934654,0.005859,0.087117
P256,4.078034,0.005322,0.102573
P256,2.925002,0.005291,0.077108
P256,3.529332,0.005462,0.085287
P256,4.139974,0.003680,0.081789
P256,2.901630,0.005640,0.087792
P256,2.996475,0.005360,0.081646
P256,3.272494,0.029946,0.313100
P256,2.894393,0.008549,0.083879
P256,3.727272,0.006210,0.396151
P256,3.508804,0.005557,0.081018
P256,2.955825,0.006767,0.091188
P256,2.975649,0.005408,0.100499
P256,3.186252,0.008275,0.345959
P256,3.733657,0.003371,0.084649
P256,3.341231,0.005435,0.081745
P256,3.547525,0.006340,0.095874
P256,3.308041,0.006058,0.084208
P256,3.463175,0.005288,0.078281
P256,2.933867,0.007144,0.083446
P256,3.132824,0.007482,0.284158
P256,3.607758,0.004177,0.087502
P256,3.274202,0.005905,0.406272
P256,4.176814,0.005461,0.085316
P256,3.258555,0.005877,0.339638
P256,3.313394,0.005135,0.084335
P256,3.376070,0.005055,0.083919
P256,3.207340,0.006175,0.338094
P256,3.017965,0.007243,0.179719
P256,3.818927,0.006785,0.100395
P256,3.325584,0.005397,0.084999
P256,2.976495,0.006160,0.083780
P256,3.085796,0.020733,0.186124
P256,3.540667,0.005529,0.101231
P256,3.625088,0.005362,0.083947
P256,3.231850,0.006711,0.265095
P256,2.924892,0.007242,0.077649
P256,3.379793,0.005448,0.487045
P256,3.478064,0.005953,0.078526
P256,2.914856,0.007423,0.078213
P256,3.123671,0.005635,0.089735
P256,3.516314,0.005782,0.084624
P256,4.167917,0.005864,0.090748
P256,3.442698,0.005024,0.085370
P256,3.374616,0.003756,0.095667
P256,2.884752,0.004095,0.078527
P256,3.137360,0.007367,0.297295
P256,2.934491,0.005978,0.073989
P256,3.618721,0.006979,0.351260
P256,3.329734,0.005715,0.082815
P256,3.671667,0.004084,0.086788
P256,2.888524,0.005936,0.078687
P256,3.973461,0.005801,0.076994
P256,3.606179,0.008164,0.093470
P256,3.668703,0.006203,0.076391
P256,3.197538,0.007417,0.264975
P256,3.438420,0.005482,0.081841
P256,3.488858,0.007076,0.565869
P256,3.560690,0.005573,0.077565
P256,2.963163,0.005408,0.094560
P256,4.204515,0.006931,0.100401
P256,2.994497,0.005375,0.084972
P256,3.063449,0.006475,0.094188
P256,3.375227,0.007222,0.511290
P256,3.374835,0.005416,0.083107
P256,4.028404,0.003812,0.080525
P256,3.868888,0.004151,0.097514
P256,2.946245,0.006075,0.085926
P256,3.711157,0.009242,0.308138
P256,3.154133,0.006250,0.309734
P256,3.394868,0.006117,0.093127
P256,3.100055,0.006295,0.264006
P256,2.912382,0.005802,0.078052
P256,3.470997,0.004851,0.104383
P256,3.396983,0.005895,0.084539
P256,3.430072,0.006057,0.071677
P256,3.581525,0.005227,0.088802
P256,3.427958,0.004012,0.083119
P256,3.919779,0.005747,0.085263
P256,3.274882,0.006921,0.355562
P256,3.776955,0.005935,0.079427
P256,3.664563,0.021491,0.085580
P256,3.324873,0.006030,0.077595
P256,3.458549,0.005452,0.494035
P256,3.473436,0.005522,0.106691
P256,3.761139,0.005307,0.085344
P256,3.374134,0.005270,0.080025
P256,2.926372,0.030695,0.085179
P256,3.439244,0.005489,0.103213
P256,3.551799,0.005111,0.084994
P256,2.914285,0.005719,0.077281
P256,2.941293,0.007768,0.100624
P256,3.813687,0.003530,0.085419
P256,2.967038,0.005406,0.086359
P256,3.639689,0.003735,0.084673
P256,2.936653,0.006929,0.078461
P256,3.382081,0.005571,0.074974
P256,3.358573,0.019116,0.099169
P256,2.934516,0.005549,0.082815
P256,3.557022,0.005196,0.080233
P256,3.020918,0.004960,0.089400
P256,3.176626,0.007237,0.293010
P256,3.427093,0.005578,0.084637
P256,2.903122,0.005979,0.096281
P256,2.923920,0.005185,0.072222
P256,3.628580,0.005026,0.080744
P256,3.313073,0.007091,0.443476
P256,2.906141,0.005829,0.077648
P256,3.152731,0.006978,0.287296
P256,3.382351,0.005767,0.504860
P256,3.960265,0.004943,0.088305
P256,3.376620,0.004719,0.078025
P256,2.889522,0.005512,0.078007
P256,3.581692,0.003689,0.085062
P256,3.296063,0.005301,0.337632
P256,3.124494,0.006208,0.256519
P256,2.958383,0.005356,0.074782
P256,3.689967,0.004943,0.081716
P256,2.884752,0.007535,0.079111
P256,4.246622,0.007336,0.098910
P256,2.931244,0.005761,0.085588
P256,2.987018,0.005679,0.087759
P256,3.877551,0.005318,0.085612
P256,3.515152,0.007318,0.093622
P256,3.695958,0.003626,0.083280
P256,3.068843,0.005641,0.155287
P256,2.994595,0.005379,0.087322
P256,3.684571,0.005577,0.082711
P256,3.597415,0.005719,0.334943
P256,2.997546,0.005317,0.102996
P256,2.911802,0.005141,0.074747
P256,3.441962,0.005534,0.123228
P256,4.213536,0.006063,0.682162
P256,3.350723,0.006395,0.079919
P256,3.219407,0.004992,0.134788
P256,3.361659,0.005425,0.098227
P256,3.562662,0.005128,0.095954
P256,2.993646,0.005579,0.271030
P256,3.227165,0.007251,0.316108
P256,3.886866,0.005293,0.085070
P256,3.237114,0.007758,0.391469
P256,3.211602,0.005847,0.336416
P256,3.948331,0.006347,0.280541
P256,3.414658,0.004599,0.081485
P256,3.419118,0.006913,0.086541
P256,2.972370,0.005179,0.076055
P256,3.454535,0.005235,0.081345
P256,3.572599,0.006083,0.078798
P256,2.911496,0.005891,0.090931
P256,2.912374,0.009876,0.079382
P256,3.731768,0.003649,0.087270
P256,3.519238,0.003804,0.086887
P256,2.883301,0.005304,0.073340
P256,3.587209,0.005947,0.116249
P256,3.429605,0.006466,0.086927
P256,3.700132,0.004187,0.095791
P256,3.660581,0.003659,0.085977
P256,3.941166,0.005584,0.088548
P256,3.705148,0.005500,0.115366
P256,3.363826,0.006564,0.073272
P256,3.388079,0.004018,0.079845
P256,2.925191,0.005765,0.107632
P256,3.277313,0.006253,0.411628
P256,3.391308,0.005710,0.090474
P256,2.984228,0.005499,0.075310
P256,3.552574,0.007531,0.566759
P256,3.797416,0.006562,0.408733
P256,2.872978,0.005274,0.086033
P256,3.047748,0.006320,0.412133
P256,2.901258,0.006288,0.084863
P256,3.786464,0.005605,0.374236
P256,3.355895,0.006183,0.537463
P256,2.986452,0.006262,0.083615
P256,2.954425,0.005342,0.093626
P256,3.704882,0.005278,0.091546
P256,3.420042,0.005988,0.107020
P256,3.192496,0.007856,0.279784
P256,2.890796,0.006067,0.092563
P256,3.514405,0.004850,0.081414
P256,3.426072,0.005216,0.077112
P256,3.619114,0.004725,0.086816
P256,2.892028,0.006201,0.073320
P256,3.056735,0.004597,0.106818
P256,3.240471,0.006367,0.380116
P256,4.047679,0.005663,0.085585
P256,3.422058,0.020258,0.556154
P256,3.603127,0.005178,0.078324
P256,3.523966,0.005539,0.081866
P256,3.724168,0.004706,0.303781
P256,2.874208,0.005606,0.088182
P256,3.337305,0.005909,0.086348
P256,2.923054,0.007163,0.089992
P256,3.335810,0.019721,0.420028
P256,3.475616,0.005412,0.085141
P256,3.793937,0.005635,0.082734
P256,3.411892,0.005088,0.080909
P256,3.131220,0.005562,0.251870
P256,3.505216,0.006407,0.077159
P256,2.920980,0.005421,0.078724
P256,2.934273,0.005967,0.083548
P256,2.900975,0.005831,0.087658
P256,3.171936,0.005937,0.235476
