algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256,97.770354,0.008950,0.196962
P256,97.208097,0.009810,0.193642
P256,99.155719,0.007750,0.129952
P256,97.473995,0.009620,0.171862
P256,98.143660,0.013731,0.143991
P256,96.950275,0.007570,0.136722
P256,98.039234,0.006860,0.149512
P256,97.925880,0.008460,0.177022
P256,97.292978,0.008940,0.191372
P256,97.416324,0.009630,0.146812
P256,97.384434,0.009340,0.270013
P256,97.071835,0.009280,0.148862
P256,98.450728,0.010010,0.173182
P256,97.071545,0.010320,0.172752
P256,97.671894,0.010010,0.186662
P256,97.315531,0.006120,0.170042
P256,98.925671,0.004630,0.137812
P256,98.880789,0.015580,0.184042
P256,98.908650,0.006610,0.151631
P256,97.904705,0.009410,0.224102
P256,98.900527,0.008850,0.164872
P256,97.149515,0.009380,0.155602
P256,98.584996,0.011380,0.216743
P256,97.249349,0.010171,0.163822
P256,97.088047,0.010190,0.199223
P256,98.328215,0.013330,0.159072
P256,98.151078,0.015550,0.163251
P256,97.186097,0.009791,0.194271
P256,97.532616,0.010530,0.180562
P256,97.944026,0.005070,0.129062
P256,97.884379,0.008820,0.188191
P256,98.001527,0.009090,0.194763
P256,98.526553,0.008220,0.177891
P256,97.272700,0.010590,0.198982
P256,98.374931,0.009810,0.195993
P256,98.178542,0.008500,0.194912
P256,97.876695,0.009900,0.206382
P256,97.081381,0.006700,0.129172
P256,98.342993,0.008380,0.191292
P256,96.821346,0.007890,0.162032
P256,97.010316,0.008050,0.197382
P256,98.898857,0.009950,0.169862
P256,98.983112,0.010270,0.172001
P256,98.080947,0.007350,0.187872
P256,98.723592,0.007460,0.192612
P256,98.203389,0.009581,0.166102
P256,101.848575,0.014730,0.171552
P256,97.788680,0.010520,0.197852
P256,98.147512,0.008500,0.196582
P256,99.329164,0.008861,0.181292
P256,98.279073,0.011840,0.216923
P256,97.442173,0.010440,0.180921
P256,98.827668,0.020840,0.168532
P256,97.037822,0.008991,0.219643
P256,97.586724,0.010361,0.167441
P256,97.609094,0.010120,0.397854
P256,98.003216,0.009270,0.181692
P256,98.300081,0.008800,0.265272
P256,97.729595,0.012750,0.179342
P256,98.076016,0.009050,0.182132
P256,97.305601,0.010970,0.206233
P256,99.249733,0.009051,0.169491
P256,97.958668,0.009650,0.225433
P256,98.546023,0.010280,0.182382
P256,98.096582,0.010051,0.189832
P256,98.999654,0.009380,0.178792
P256,98.311378,0.006160,0.120522
P256,98.233300,0.010450,0.173152
P256,98.006317,0.009380,0.161662
P256,97.210498,0.008501,0.205783
P256,99.197248,0.008580,0.144342
P256,98.624397,0.008230,0.140662
P256,96.752234,0.010380,0.157672
P256,96.808159,0.008280,0.144582
P256,98.448797,0.011881,0.152232
P256,97.107357,0.009240,0.175192
P256,98.937368,0.012360,0.169492
P256,97.770467,0.010200,0.164522
P256,98.196749,0.008550,0.163512
P256,98.162478,0.008800,0.199713
P256,98.005416,0.008830,0.144642
P256,98.008855,0.030001,0.179572
P256,98.234053,0.008820,0.177542
P256,98.076624,0.009921,0.158072
P256,97.501560,0.008030,0.163882
P256,96.783669,0.010700,0.163872
